artist.familiarity,artist.hotttnesss,artist.id,artist.latitude,artist.location,artist.longitude,artist.name,artist.similar,artist.terms,artist.terms_freq

0.877213746,1.082502557,ARRH63Y1187FB47783,0,0,0,Kanye West / Lupe Fiasco,0,hip hop,1

0.90284076,1.021255588,ARF8HTQ1187B9AE693,0,0,0,Daft Punk,0,techno,1

0.845601887,1.005941966,ARTDQRC1187FB4EFD4,0,0,0,Black Eyed Peas,0,hip hop,1

0.88974922,0.922412443,ARS54I31187FB46721,0,0,0,Taylor Swift,0,country,0.970216931

0.865021512,0.916053228,ARJ7KF01187B98D717,0,0,0,Coldplay,0,piano rock,0.91162502

0.917698884,0.908202619,ARKU3Z61187FB51DCA,13.11199,0,-59.59895,Rihanna,0,dance pop,1

0.842673051,0.872838921,ARBS1OC1187FB44CAF,0,0,0,T.I.,0,gangster rap,0.999981371

0.856448924,0.854637828,ARPDVPJ1187B9ADBE9,0,0,0,Usher,0,hip hop,1

0.98993857,0.843430844,ARUDYKB11F4C83C269,29.95369,0,-90.07771,Lil Wayne,0,hip hop,1

0.905477001,0.843380274,ARF5M7Q1187FB501E8,0,0,0,Maroon 5,0,pop,0.969733877

