ArtistId,ReleaseId,song.id,song.title,song.year,song.duration,song.artist_mbtags,song.artist_mbtags_count,song.bars_confidence,song.bars_start,song.beats_confidence,song.beats_start,song.end_of_fade_in,song.hotttnesss,song.key,song.key_confidence,song.loudness,song.mode,song.mode_confidence,song.start_of_fade_out,song.tatums_confidence,song.tatums_start,song.tempo,song.time_signature,song.time_signature_confidence

ARKQQZA12086C116FC,803358,SOULTKQ12AB018A183,Nothin' On You [feat. Bruno Mars] (Album Version),2010,269.63546,0,1,0.022,1.1388,0,0.59288,5.283,1,10,0.403,-5.388,1,0.411,258.461,0.68,0.31134,104.038,4,0.742

ARDIBRT1187B9AF176,171807,SOAAXAK12A8C13C030,Immigrant Song (Album Version),1970,145.05751,0,6,0.075,0.10085,0.578,0.10085,2.223,1,11,0.717,-10.544,1,0.613,140.132,0.388,0.10085,150.569,3,1

ARTB5PP1187FB523B7,53068,SOTRSHW12A58A79E7C,This Christmas (LP Version),0,231.18322,0,1,1,0.10321,1,0.10321,0.104,0.997758396,5,0.304,-9.647,1,0.395,217.298,0,0.10321,92.98,1,0

ARPAAHK1187B9ABB00,335617,SOWFUUS12AB01800E7,If Today Was Your Last Day (Album Version),2008,248.05832,0,2,0.943,0.83506,1,0.17866,0.096,0.984346739,10,0.892,-4.157,0,0.747,233.941,0.263,0.17866,89.958,4,0.733

ARF5M7Q1187FB501E8,81735,SOOXLKF12A6D4F594A,Harder To Breathe,2002,173.66159,0,1,0.008,0.49896,0.847,0.09777,2.949,0.979837197,1,0.65,-4.757,0,0.575,171.607,0.689,0.09777,149.917,4,0.791

AR8V1WA1187B9AD9E9,190662,SOMKGQN12A8C1339D2,Blue Orchid,2005,160.31302,0,2,0.011,1.7608,0.672,1.35509,6.513,0.972386891,1,0.704,-9.385,1,0.521,156.479,0.074,1.35509,152.785,4,0.76

ARVN9FZ1187FB393F1,623494,SOOPVJI12AB0183957,Just Say Yes,2009,284.1073,0,1,0.242,1.94403,0.627,1.94403,3.419,0.94599468,9,0.597,-5.519,1,0.574,268.945,0.057,1.65945,107.998,4,0.384

AR9OMFE1187FB3BB54,65619,SOUXEOI12A6D4FB18E,They Reminisce Over You (Single Version),1992,286.69342,0,0,0.202,2.28036,0.916,1.11714,2.415,0.932274163,1,0.69,-10.235,0,0.44,259.373,0.301,0.83447,101.779,4,0.978

ARR3ONV1187B9A2F59,580801,SOBVAPJ12AB018739D,Exogenesis: Symphony Part 1 [Overture],0,258.42893,0,0,0.037,0.99966,0.77,0.52583,2.107,0.931346488,5,0.301,-8.895,1,0.366,248.047,0.032,0.29078,121.071,3,0.63

ARHUC691187B9AD27F,354680,SOFDYGC12A6D4F9059,Inertiatic Esp,2003,266.47465,0,1,0.053,0.84083,0.345,0.30187,2.322,0.928616842,6,0.501,-3.952,0,0.612,260.412,0.148,0.11467,112.486,4,0.529

